class_name,method_name,data_total,data_internal,data_external
AllPredicate,allPredicate,6,2,4
AllPredicate,allPredicate,5,2,3
AnyPredicate,anyPredicate,5,2,3
ChainedClosure,chainedClosure,3,1,2
ChainedTransformer,chainedTransformer,3,1,2
CloneTransformer,transform,2,0,2
NonePredicate,nonePredicate,4,1,3
NonePredicate,nonePredicate,3,1,2
OnePredicate,onePredicate,5,2,3
AbstractMapEntry,equals,10,2,8
AbstractMapEntry,hashCode,6,2,4
DefaultMapEntry,equals,10,2,8
DefaultMapEntry,hashCode,6,2,4
UnmodifiableMapEntry,equals,10,2,8
UnmodifiableMapEntry,hashCode,6,2,4
SetUniqueList,add,4,1,3
AbstractLinkedMap,createEntrySetIterator,2,0,2
AbstractLinkedMap,createKeySetIterator,2,0,2
AbstractLinkedMap,createValuesIterator,2,0,2
MultiKeyMap,isEqualKey,11,5,6
MultiKeyMap,isEqualKey,14,6,8
MultiKeyMap,isEqualKey,17,7,10
MultiKeyMap,removeAll,8,3,5
MultiKeyMap,removeAll,11,4,7
MultiKeyMap,removeAll,14,5,9
MultiKeyMap,removeAll,17,6,11
MultiValueMap,iterator,2,0,2
ListOrderedSet,listOrderedSet,2,0,2
CollectionUtils,select,2,0,2
CollectionUtils,select,3,0,3
CollectionUtils,subtract,4,0,4
CollectionUtils,collect,4,0,4
CollectionUtils,maxSize,3,0,3
CollectionUtils,permutations,3,0,3
CollectionUtils,selectRejected,2,0,2
CollectionUtils,filter,5,2,3
CollectionUtils,addAll,3,0,3
CollectionUtils,isFull,3,0,3
ListUtils,longestCommonSubsequence,3,1,2
MapUtils,toProperties,4,1,3
MapUtils,invertMap,5,2,3
MapUtils,putAll,12,4,8
