class_name,method_name,data_total,data_internal,data_external 
AbstractHibernateAcceptanceTest,createXStream,10,0,10
HibernateReferenceTest,setUp,16,6,10
ImplicitMapTest,createXStream,5,1,2
XStreamBuilderAnnotationsTest,testHandleCorrectlyAnnotatedClasses,7,1,5
AliasTest,testCanAliasArrayElements,10,4,6
AliasTest,testIdentityForFields,10,4,6
AliasTest,testForSystemAttributes,15,7,8
CglibCompatibilityTest,createXStream,9,2,7
CollectionsTest,testListsCanContainCustomObjects,18,8,10
ConcreteClassesTest,testDefaultImplementationOfInterface,5,2,3
DataHolderTest,testCanBePassedInToUnmarshallerExternally,11,5,6
DynamicProxyTest,setupSecurity,3,1,2
ExternalizableTest,testExternalizableAsFieldOfAnotherObject,8,3,5
ImplicitMapTest,testWithAliasedItemNameMatchingTheAliasedNameOfTheFieldWithTheMap,13,5,8
ImplicitMapTest,testWithMap,10,4,6
ImplicitMapTest,testWithoutKeyField,9,4,5
ImplicitMapTest,testWithNullElement,10,4,6
ImplicitMapTest,testCanUsePrimitiveAsKey,8,3,5
ImplicitMapTest,testWithEmptyMap,15,7,8
ImplicitMapTest,testWithExplicitItemNameMatchingTheNameOfTheFieldWithTheMap,10,4,6
ImplicitMapTest,testWithEMPTY_MAP,15,7,8
ImplicitMapTest,testWithImplicitNameMatchingTheNameOfTheFieldWithTheMap,13,5,8
ImplicitMapTest,testCollectsDifferentTypesWithFieldOfSameName,11,5,6
ImplicitMapTest,testWithAliasAndNullElement,10,4,6
ImplicitMapTest,testSeparatesItemsBasedOnItemName,17,6,11
MultipleObjectsInOneStreamTest,testObjectOutputStreamPropagatesCloseAndFlushEvents,11,3,8
MultipleObjectsInOneStreamTest,testObjectInputStreamPropagatesCloseEvent,7,2,5
MultipleObjectsInOneStreamTest,testReadAndWriteMultipleObjectsInOneStream,41,18,23
QNameMappedConcreteClassesTest,testUsingDifferentNamespacesSameAliases,25,12,13
QNameMappedConcreteClassesTest,testUsingDifferentNamespacesWithAliases,21,8,13
WriteReplaceTest,testAllowsDifferentTypeToBeSubstituted,7,3,4
