class_name,num_internal,num_external 
ClosureUtils,16,5
CollectionUtils,70,26
ComparatorUtils,11,2
EnumerationUtils,3,2
FluentIterable,33,28
IterableUtils,43,33
IteratorUtils,77,15
ListUtils,24,8
MapUtils,95,12
MultiMapUtils,12,3
PredicateUtils,29,4
SetUtils,25,9
SplitMapUtils,2,18
TransformerUtils,23,4
AbstractBagDecorator,19,2
AbstractMapBag,29,1
AbstractSortedBagDecorator,21,2
CollectionBag,24,2
CollectionSortedBag,26,2
HashBag,32,2
PredicatedBag,26,1
PredicatedSortedBag,29,1
SynchronizedBag,22,2
SynchronizedSortedBag,26,2
TransformedBag,28,2
TransformedSortedBag,33,1
TreeBag,27,3
UnmodifiableBag,26,3
UnmodifiableSortedBag,28,3
AbstractBidiMapDecorator,9,1
AbstractDualBidiMap,29,9
AbstractOrderedBidiMapDecorator,13,1
AbstractSortedBidiMapDecorator,14,1
DualHashBidiMap,32,2
DualLinkedHashBidiMap,32,2
DualTreeBidiMap,31,10
TreeBidiMap,71,5
UnmodifiableBidiMap,16,4
UnmodifiableOrderedBidiMap,21,4
UnmodifiableSortedBidiMap,23,5
CompositeCollection,25,4
IndexedCollection,30,4
PredicatedCollection,25,8
TransformedCollection,25,1
UnmodifiableBoundedCollection,18,2
UnmodifiableCollection,21,2
BooleanComparator,11,1
ComparatorChain,17,2
NullComparator,6,2
ReverseComparator,5,2
TransformingComparator,6,3
AbstractQuantifierPredicate,4,1
AllPredicate,7,6
AnyPredicate,7,5
ChainedClosure,6,4
ChainedTransformer,6,4
CloneTransformer,3,2
ClosureTransformer,5,1
EqualPredicate,7,3
FactoryTransformer,5,1
ForClosure,6,1
IdentityPredicate,5,1
IfClosure,10,3
IfTransformer,10,2
MapTransformer,5,1
NonePredicate,7,5
OnePredicate,7,5
PredicateTransformer,5,1
PrototypeFactory,1,1
SwitchClosure,10,7
SwitchTransformer,10,7
TransformedPredicate,7,1
TransformerClosure,5,2
TransformerPredicate,5,1
WhileClosure,8,1
AbstractEmptyMapIterator,13,1
AbstractIteratorDecorator,5,1
ArrayIterator,12,2
ArrayListIterator,17,4
CollatingIterator,21,2
EmptyIterator,11,1
EmptyListIterator,5,1
EmptyMapIterator,15,1
EmptyOrderedIterator,9,1
EmptyOrderedMapIterator,15,1
EnumerationIterator,8,1
FilterIterator,12,1
FilterListIterator,24,1
IteratorChain,13,1
IteratorIterable,4,2
LazyIteratorChain,9,1
ObjectArrayIterator,11,1
ObjectArrayListIterator,16,4
ObjectGraphIterator,13,1
SingletonIterator,8,1
SkippingIterator,8,1
UniqueFilterIterator,12,2
ZippingIterator,6,4
AbstractMapEntry,7,3
DefaultKeyValue,10,1
DefaultMapEntry,7,3
MultiKey,11,1
UnmodifiableMapEntry,7,3
AbstractListDecorator,18,2
AbstractSerializableListDecorator,21,1
CursorableLinkedList,61,2
FixedSizeList,32,4
GrowthList,23,1
LazyList,27,3
NodeCachingLinkedList,63,3
PredicatedList,25,3
SetUniqueList,36,9
TransformedList,27,3
UnmodifiableList,31,3
AbstractHashedMap,65,6
AbstractInputCheckedMapDecorator,20,7
AbstractLinkedMap,61,9
AbstractMapDecorator,18,1
AbstractOrderedMapDecorator,8,2
AbstractReferenceMap,76,5
AbstractSortedMapDecorator,12,8
CaseInsensitiveMap,68,4
CompositeMap,21,5
DefaultedMap,25,6
FixedSizeMap,17,5
FixedSizeSortedMap,26,5
Flat3Map,33,10
HashedMap,68,4
LRUMap,73,7
LazyMap,24,3
LazySortedMap,20,2
LinkedMap,69,11
ListOrderedMap,30,17
MultiKeyMap,52,12
MultiValueMap,30,8
PassiveExpiringMap,28,4
PredicatedMap,27,2
PredicatedSortedMap,22,1
ReferenceIdentityMap,79,1
ReferenceMap,79,1
SingletonMap,31,5
StaticBucketMap,21,2
TransformedMap,30,2
TransformedSortedMap,26,2
UnmodifiableEntrySet,20,4
UnmodifiableMap,22,5
UnmodifiableOrderedMap,19,5
UnmodifiableSortedMap,23,4
AbstractListValuedMap,33,5
AbstractMultiValuedMap,33,13
AbstractSetValuedMap,33,5
ArrayListValuedHashMap,40,2
HashSetValuedHashMap,39,2
TransformedMultiValuedMap,32,5
UnmodifiableMultiValuedMap,27,6
AbstractMapMultiSet,35,4
AbstractMultiSet,27,1
AbstractMultiSetDecorator,21,2
HashMultiSet,38,2
PredicatedMultiSet,28,1
SynchronizedMultiSet,23,2
UnmodifiableMultiSet,28,3
PropertiesFactory,10,1
SortedPropertiesFactory,10,1
AbstractQueueDecorator,11,2
CircularFifoQueue,24,1
PredicatedQueue,18,1
SynchronizedQueue,15,2
TransformedQueue,20,1
UnmodifiableQueue,23,2
DeleteCommand,3,2
EditScript,9,1
InsertCommand,3,2
KeepCommand,3,2
ReplacementsFinder,7,1
SequencesComparator,9,6
AbstractNavigableSetDecorator,19,2
AbstractSerializableSetDecorator,11,1
AbstractSetDecorator,8,2
AbstractSortedSetDecorator,13,2
CompositeSet,27,5
ListOrderedSet,32,7
PredicatedNavigableSet,28,1
PredicatedSet,15,1
PredicatedSortedSet,21,1
TransformedNavigableSet,32,1
TransformedSet,16,1
TransformedSortedSet,24,1
UnmodifiableNavigableSet,34,3
UnmodifiableSet,21,2
UnmodifiableSortedSet,25,2
TransformedSplitMap,28,2
AbstractBitwiseTrie,15,1
AbstractPatriciaTrie,67,7
PatriciaTrie,68,2
UnmodifiableTrie,28,1
StringKeyAnalyzer,19,1
