class_name,code_lines,fields_num,methods_num
AbstractBagDecorator,67,1,7
BagIterator,61,6,3
MutableInteger,25,1,2
AbstractMapBag,581,4,25
AbstractSortedBagDecorator,52,1,4
CollectionBag,201,1,10
CollectionSortedBag,134,1,10
HashBag,47,1,2
PredicatedBag,83,1,8
PredicatedSortedBag,67,1,5
SynchronizedBagSet,13,1,0
SynchronizedBag,116,1,8
SynchronizedSortedBag,73,1,5
TransformedBag,110,1,9
TransformedSortedBag,95,1,6
TreeBag,104,1,7
UnmodifiableBag,126,1,14
UnmodifiableSortedBag,123,1,14
AbstractBidiMapDecorator,50,0,6
View,97,2,6
KeySet,35,1,3
KeySetIterator,40,3,2
Values,35,1,3
ValuesIterator,40,3,2
EntrySet,37,1,2
EntrySetIterator,41,3,2
MapEntry,27,1,1
BidiMapIterator,96,4,8
AbstractDualBidiMap,785,6,23
AbstractOrderedBidiMapDecorator,56,0,7
AbstractSortedBidiMapDecorator,55,0,7
DualHashBidiMap,66,1,3
DualLinkedHashBidiMap,65,1,3
ViewMap,58,0,8
BidiOrderedMapIterator,100,3,10
DualTreeBidiMap,361,3,16
DataElement,19,3,1
View,24,1,2
KeyView,26,0,3
ValueView,26,0,3
EntryView,37,0,3
InverseEntryView,37,0,3
ViewIterator,80,5,5
ViewMapIterator,42,0,5
InverseViewMapIterator,42,0,5
ViewMapEntryIterator,19,0,2
InverseViewMapEntryIterator,23,0,3
Node,221,8,20
Inverse,150,3,23
TreeBidiMap,2182,8,63
UnmodifiableBidiMap,100,1,11
UnmodifiableOrderedBidiMap,111,1,12
UnmodifiableSortedBidiMap,120,1,14
AbstractCollectionDecorator,132,2,17
CompositeCollection,476,3,22
IndexedCollection,239,4,16
Builder,237,3,13
PredicatedCollection,386,2,6
SynchronizedCollection,202,3,19
TransformedCollection,117,2,6
UnmodifiableBoundedCollection,132,1,13
UnmodifiableCollection,84,1,9
BooleanComparator,163,4,7
ComparableComparator,87,2,4
ComparatorChain,300,4,13
UnknownObjectBehavior,3,3,0
FixedOrderComparator,251,5,9
NullComparator,149,3,3
ReverseComparator,91,2,3
TransformingComparator,92,3,3
AbstractQuantifierPredicate,29,2,1
AllPredicate,79,1,3
AndPredicate,64,3,3
AnyPredicate,80,1,3
CatchAndRethrowClosure,29,0,2
ChainedClosure,98,2,4
ChainedTransformer,96,2,4
CloneTransformer,39,1,2
ClosureTransformer,57,2,3
Criterion,3,5,0
ComparatorPredicate,114,4,3
ConstantFactory,58,3,3
ConstantTransformer,97,3,6
DefaultEquator,55,3,4
EqualPredicate,92,3,4
ExceptionClosure,43,2,3
ExceptionFactory,43,2,3
ExceptionPredicate,44,2,3
ExceptionTransformer,45,2,3
FactoryTransformer,58,2,3
FalsePredicate,43,2,3
ForClosure,75,2,4
FunctorUtils,178,0,10
IdentityPredicate,56,2,3
IfClosure,127,4,6
IfTransformer,121,4,6
InstanceofPredicate,55,2,3
InstantiateFactory,105,4,3
InstantiateTransformer,95,3,3
InvokerTransformer,112,3,3
MapTransformer,58,2,3
NOPClosure,42,2,3
NOPTransformer,43,2,3
NonePredicate,70,1,3
NotNullPredicate,43,2,3
NotPredicate,58,2,3
NullIsExceptionPredicate,63,2,3
NullIsFalsePredicate,62,2,3
NullIsTruePredicate,62,2,3
NullPredicate,43,2,3
OnePredicate,75,1,3
OrPredicate,64,3,3
PredicateTransformer,56,2,3
PrototypeCloneFactory,49,2,2
PrototypeSerializationFactory,51,1,1
PrototypeFactory,167,0,1
StringValueTransformer,43,2,3
SwitchClosure,156,4,6
SwitchTransformer,169,4,6
TransformedPredicate,79,3,4
TransformerClosure,56,2,3
TransformerPredicate,62,2,3
TruePredicate,43,2,3
UniquePredicate,40,2,2
WhileClosure,91,3,5
AbstractEmptyIterator,50,0,10
AbstractEmptyMapIterator,22,0,3
AbstractIteratorDecorator,20,0,1
AbstractListIteratorDecorator,86,1,10
AbstractMapIteratorDecorator,68,1,7
AbstractOrderedMapIteratorDecorator,80,1,9
AbstractUntypedIteratorDecorator,39,1,3
ArrayIterator,167,4,8
ArrayListIterator,169,1,8
BoundedIterator,104,4,5
CollatingIterator,360,5,16
EmptyIterator,42,2,2
EmptyListIterator,43,2,2
EmptyMapIterator,28,1,1
EmptyOrderedIterator,27,1,1
EmptyOrderedMapIterator,28,1,1
EntrySetMapIterator,137,4,8
EnumerationIterator,112,3,5
FilterIterator,154,4,8
FilterListIterator,254,7,17
IteratorChain,231,4,9
IteratorEnumeration,69,1,4
1,16,0,3
IteratorIterable,71,2,2
LazyIteratorChain,105,4,5
ListIteratorWrapper,225,7,10
LoopingIterator,92,2,5
LoopingListIterator,225,2,12
NodeListIterator,58,2,3
ObjectArrayIterator,144,4,7
ObjectArrayListIterator,162,1,8
ObjectGraphIterator,179,7,6
PeekingIterator,130,4,7
PermutationIterator,116,4,3
PushbackIterator,75,2,5
ReverseListIterator,149,3,10
SingletonIterator,98,4,4
SingletonListIterator,153,4,10
SkippingIterator,69,2,3
TransformIterator,119,2,8
UniqueFilterIterator,14,0,0
UnmodifiableIterator,56,1,4
UnmodifiableListIterator,84,1,10
UnmodifiableMapIterator,71,1,7
UnmodifiableOrderedMapIterator,83,1,9
ZippingIterator,124,3,3
AbstractKeyValue,66,2,5
AbstractMapEntry,64,0,3
AbstractMapEntryDecorator,63,1,7
DefaultKeyValue,122,0,5
DefaultMapEntry,33,0,0
MultiKey,237,3,8
TiedMapEntry,108,3,6
UnmodifiableMapEntry,45,0,1
Node,102,3,6
LinkedListIterator,156,5,11
LinkedSubListIterator,39,1,5
LinkedSubList,128,4,13
AbstractLinkedList,1056,3,47
AbstractListDecorator,97,1,13
AbstractSerializableListDecorator,42,1,2
Cursor,167,3,8
SubCursor,45,1,5
CursorableLinkedList,565,2,18
FixedSizeListIterator,13,0,2
FixedSizeList,158,1,22
GrowthList,135,1,4
LazyList,127,3,5
NodeCachingLinkedList,210,5,11
PredicatedListIterator,23,0,2
PredicatedList,147,1,14
SetListIterator,23,2,2
SetListListIterator,43,2,5
SetUniqueList,383,2,20
TransformedListIterator,23,0,2
TransformedList,173,1,15
AVLNode,672,7,30
TreeListIterator,147,6,10
TreeList,1072,2,14
UnmodifiableList,119,1,16
HashMapIterator,38,0,4
EntrySet,47,1,5
EntrySetIterator,11,0,1
KeySet,36,1,5
KeySetIterator,12,0,1
Values,29,1,4
ValuesIterator,12,0,1
HashEntry,66,4,6
HashIterator,75,5,5
AbstractHashedMap,1343,19,46
EntrySet,55,2,3
EntrySetIterator,17,1,1
MapEntry,16,1,1
AbstractInputCheckedMapDecorator,165,0,3
AbstractIterableMap,10,0,1
LinkMapIterator,44,0,5
EntrySetIterator,17,0,2
KeySetIterator,18,0,2
ValuesIterator,18,0,2
LinkEntry,18,2,0
LinkIterator,80,4,8
AbstractLinkedMap,559,1,18
AbstractMapDecorator,115,1,16
AbstractOrderedMapDecorator,58,0,6
ReferenceStrength,30,4,1
ReferenceEntrySet,21,0,2
ReferenceKeySet,21,0,2
ReferenceValues,21,0,2
ReferenceEntry,173,1,10
ReferenceBaseIterator,92,9,6
ReferenceEntrySetIterator,13,0,1
ReferenceKeySetIterator,12,0,1
ReferenceValuesIterator,12,0,1
ReferenceMapIterator,38,0,4
SoftRef,14,1,1
WeakRef,14,1,1
AbstractReferenceMap,1020,4,28
SortedMapIterator,37,0,3
AbstractSortedMapDecorator,127,0,10
CaseInsensitiveMap,106,1,4
CompositeMap,521,3,17
DefaultedMap,146,2,6
EntrySetToMapIteratorAdapter,89,3,8
FixedSizeMap,118,1,12
FixedSizeSortedMap,135,1,16
FlatMapIterator,103,3,8
EntrySet,41,1,4
FlatMapEntry,113,3,7
EntryIterator,35,3,3
EntrySetIterator,10,0,1
KeySet,41,1,5
KeySetIterator,12,0,1
Values,34,1,4
ValuesIterator,12,0,1
Flat3Map,1210,12,21
HashedMap,81,1,3
LRUMap,467,4,15
LazyMap,113,2,5
LazySortedMap,105,1,9
LinkedMapList,101,1,18
LinkedMap,256,1,8
1,6,0,1
ValuesView,49,1,7
1,6,0,1
KeySetView,34,1,4
EntrySetView,79,3,11
ListOrderedIterator,21,2,2
ListOrderedMapEntry,18,1,2
ListOrderedMapIterator,85,4,10
ListOrderedMap,725,2,26
MultiKeyMap,832,1,37
1,14,0,3
1,24,0,1
Values,20,0,3
ValuesIterator,29,3,3
ReflectionFactory,28,2,2
MultiValueMap,506,3,20
ConstantTimeToLiveExpirationPolicy,79,2,1
PassiveExpiringMap,479,3,19
PredicatedMap,143,3,8
PredicatedSortedMap,84,1,8
ReferenceIdentityMap,177,1,6
ReferenceMap,119,1,2
SingletonMapIterator,81,3,10
SingletonValues,30,2,5
SingletonMap,548,3,28
Node,43,3,5
Lock,3,1,0
BaseIterator,41,3,3
EntryIterator,8,0,1
ValueIterator,8,0,1
KeyIterator,8,0,1
EntrySet,50,0,5
KeySet,38,0,5
Values,18,0,3
StaticBucketMap,641,3,17
TransformedMap,199,3,11
TransformedSortedMap,122,1,9
UnmodifiableEntrySetIterator,16,0,2
UnmodifiableEntry,11,0,1
UnmodifiableEntrySet,154,1,11
UnmodifiableMap,115,1,11
UnmodifiableOrderedMap,110,1,11
UnmodifiableSortedMap,133,1,16
WrappedList,105,0,13
ValuesListIterator,73,3,9
AbstractListValuedMap,252,0,5
WrappedCollection,145,1,15
1,11,0,2
MapEntryTransformer,17,0,1
KeysMultiSet,56,0,6
1,15,2,1
EntryValues,27,0,2
MultiValuedMapEntry,12,0,1
MultiValuedMapIterator,51,2,6
Values,20,0,3
ValuesIterator,29,3,3
AsMapEntrySet,32,0,5
AsMapEntrySetIterator,13,0,1
AsMap,122,1,10
AbstractMultiValuedMap,879,5,28
AbstractMultiValuedMapDecorator,147,2,23
