class_name,method_name,code_lines 
AbstractBagDecorator,add,3
AbstractBagDecorator,decorated,3
AbstractBagDecorator,equals,3
AbstractBagDecorator,getCount,3
AbstractBagDecorator,hashCode,3
AbstractBagDecorator,remove,3
AbstractBagDecorator,uniqueSet,3
BagIterator,hasNext,3
BagIterator,next,12
BagIterator,remove,16
MutableInteger,equals,6
MutableInteger,hashCode,3
AbstractMapBag,add,3
AbstractMapBag,add,14
AbstractMapBag,addAll,9
AbstractMapBag,clear,5
AbstractMapBag,contains,3
AbstractMapBag,containsAll,6
AbstractMapBag,containsAll,10
AbstractMapBag,doReadObject,12
AbstractMapBag,doWriteObject,7
AbstractMapBag,equals,18
AbstractMapBag,getCount,7
AbstractMapBag,getMap,3
AbstractMapBag,hashCode,9
AbstractMapBag,isEmpty,3
AbstractMapBag,iterator,3
AbstractMapBag,remove,10
AbstractMapBag,remove,18
AbstractMapBag,removeAll,11
AbstractMapBag,retainAll,6
AbstractMapBag,retainAll,19
AbstractMapBag,size,3
AbstractMapBag,toArray,12
AbstractMapBag,toArray,24
AbstractMapBag,toString,20
AbstractMapBag,uniqueSet,6
AbstractSortedBagDecorator,comparator,3
AbstractSortedBagDecorator,decorated,3
AbstractSortedBagDecorator,first,3
AbstractSortedBagDecorator,last,3
CollectionBag,add,3
CollectionBag,add,4
CollectionBag,addAll,9
CollectionBag,collectionBag,3
CollectionBag,containsAll,9
CollectionBag,readObject,4
CollectionBag,remove,3
CollectionBag,removeAll,14
CollectionBag,retainAll,15
CollectionBag,writeObject,4
CollectionSortedBag,add,3
CollectionSortedBag,add,4
CollectionSortedBag,addAll,9
CollectionSortedBag,collectionSortedBag,3
CollectionSortedBag,containsAll,9
CollectionSortedBag,readObject,4
CollectionSortedBag,remove,3
CollectionSortedBag,removeAll,14
CollectionSortedBag,retainAll,15
CollectionSortedBag,writeObject,4
HashBag,readObject,4
HashBag,writeObject,4
PredicatedBag,add,4
PredicatedBag,decorated,3
PredicatedBag,equals,3
PredicatedBag,getCount,3
PredicatedBag,hashCode,3
PredicatedBag,predicatedBag,3
PredicatedBag,remove,3
PredicatedBag,uniqueSet,3
PredicatedSortedBag,comparator,3
PredicatedSortedBag,decorated,3
PredicatedSortedBag,first,3
PredicatedSortedBag,last,3
PredicatedSortedBag,predicatedSortedBag,4
SynchronizedBag,add,5
SynchronizedBag,equals,8
SynchronizedBag,getBag,3
SynchronizedBag,getCount,5
SynchronizedBag,hashCode,5
SynchronizedBag,remove,5
SynchronizedBag,synchronizedBag,3
SynchronizedBag,uniqueSet,6
SynchronizedSortedBag,comparator,5
SynchronizedSortedBag,first,5
SynchronizedSortedBag,getSortedBag,3
SynchronizedSortedBag,last,5
SynchronizedSortedBag,synchronizedSortedBag,3
TransformedBag,add,3
TransformedBag,equals,3
TransformedBag,getBag,3
TransformedBag,getCount,3
TransformedBag,hashCode,3
TransformedBag,remove,3
TransformedBag,transformedBag,12
TransformedBag,transformingBag,3
TransformedBag,uniqueSet,4
TransformedSortedBag,comparator,3
TransformedSortedBag,first,3
TransformedSortedBag,getSortedBag,3
TransformedSortedBag,last,3
TransformedSortedBag,transformedSortedBag,14
TransformedSortedBag,transformingSortedBag,4
TreeBag,add,10
TreeBag,comparator,3
TreeBag,first,3
TreeBag,getMap,3
TreeBag,last,3
TreeBag,readObject,6
TreeBag,writeObject,5
UnmodifiableBag,add,3
UnmodifiableBag,add,3
UnmodifiableBag,addAll,3
UnmodifiableBag,clear,3
UnmodifiableBag,iterator,3
UnmodifiableBag,readObject,4
UnmodifiableBag,remove,3
UnmodifiableBag,remove,3
UnmodifiableBag,removeAll,3
UnmodifiableBag,removeIf,3
UnmodifiableBag,retainAll,3
UnmodifiableBag,uniqueSet,4
UnmodifiableBag,unmodifiableBag,8
UnmodifiableBag,writeObject,4
UnmodifiableSortedBag,add,3
UnmodifiableSortedBag,add,3
UnmodifiableSortedBag,addAll,3
UnmodifiableSortedBag,clear,3
UnmodifiableSortedBag,iterator,3
UnmodifiableSortedBag,readObject,4
UnmodifiableSortedBag,remove,3
UnmodifiableSortedBag,remove,3
UnmodifiableSortedBag,removeAll,3
UnmodifiableSortedBag,removeIf,3
UnmodifiableSortedBag,retainAll,3
UnmodifiableSortedBag,uniqueSet,4
UnmodifiableSortedBag,unmodifiableSortedBag,6
UnmodifiableSortedBag,writeObject,4
AbstractBidiMapDecorator,decorated,3
AbstractBidiMapDecorator,getKey,3
AbstractBidiMapDecorator,inverseBidiMap,3
AbstractBidiMapDecorator,mapIterator,3
AbstractBidiMapDecorator,removeValue,3
AbstractBidiMapDecorator,values,3
View,clear,3
View,equals,3
View,hashCode,3
View,removeAll,11
View,removeIf,16
View,retainAll,18
KeySet,contains,3
KeySet,iterator,3
KeySet,remove,8
KeySetIterator,next,5
KeySetIterator,remove,10
Values,contains,3
Values,iterator,3
Values,remove,8
ValuesIterator,next,5
ValuesIterator,remove,9
EntrySet,iterator,3
EntrySet,remove,16
EntrySetIterator,next,5
EntrySetIterator,remove,11
MapEntry,setValue,10
BidiMapIterator,getKey,7
BidiMapIterator,getValue,7
BidiMapIterator,hasNext,3
BidiMapIterator,next,5
BidiMapIterator,remove,11
BidiMapIterator,reset,5
BidiMapIterator,setValue,12
BidiMapIterator,toString,6
AbstractDualBidiMap,clear,4
AbstractDualBidiMap,containsKey,3
AbstractDualBidiMap,containsValue,3
AbstractDualBidiMap,createEntrySetIterator,3
AbstractDualBidiMap,createKeySetIterator,3
AbstractDualBidiMap,createValuesIterator,3
AbstractDualBidiMap,entrySet,6
AbstractDualBidiMap,equals,3
AbstractDualBidiMap,get,3
AbstractDualBidiMap,getKey,3
AbstractDualBidiMap,hashCode,3
AbstractDualBidiMap,inverseBidiMap,6
AbstractDualBidiMap,isEmpty,3
AbstractDualBidiMap,keySet,6
AbstractDualBidiMap,mapIterator,3
AbstractDualBidiMap,put,11
AbstractDualBidiMap,putAll,5
AbstractDualBidiMap,remove,8
AbstractDualBidiMap,removeValue,8
AbstractDualBidiMap,size,3
AbstractDualBidiMap,toString,3
AbstractDualBidiMap,values,6
AbstractOrderedBidiMapDecorator,decorated,3
AbstractOrderedBidiMapDecorator,firstKey,3
AbstractOrderedBidiMapDecorator,inverseBidiMap,3
AbstractOrderedBidiMapDecorator,lastKey,3
AbstractOrderedBidiMapDecorator,mapIterator,3
AbstractOrderedBidiMapDecorator,nextKey,3
AbstractOrderedBidiMapDecorator,previousKey,3
AbstractSortedBidiMapDecorator,comparator,3
AbstractSortedBidiMapDecorator,decorated,3
AbstractSortedBidiMapDecorator,headMap,3
AbstractSortedBidiMapDecorator,inverseBidiMap,3
AbstractSortedBidiMapDecorator,subMap,3
AbstractSortedBidiMapDecorator,tailMap,3
AbstractSortedBidiMapDecorator,valueComparator,3
DualHashBidiMap,createBidiMap,4
DualHashBidiMap,readObject,8
DualHashBidiMap,writeObject,4
DualLinkedHashBidiMap,createBidiMap,4
DualLinkedHashBidiMap,readObject,8
DualLinkedHashBidiMap,writeObject,4
ViewMap,clear,7
ViewMap,containsValue,4
ViewMap,decorated,3
ViewMap,headMap,3
ViewMap,nextKey,3
ViewMap,previousKey,3
ViewMap,subMap,3
ViewMap,tailMap,3
BidiOrderedMapIterator,getKey,7
BidiOrderedMapIterator,getValue,7
BidiOrderedMapIterator,hasNext,3
BidiOrderedMapIterator,hasPrevious,3
BidiOrderedMapIterator,next,4
BidiOrderedMapIterator,previous,4
BidiOrderedMapIterator,remove,5
BidiOrderedMapIterator,reset,4
BidiOrderedMapIterator,setValue,16
BidiOrderedMapIterator,toString,6
DualTreeBidiMap,comparator,3
DualTreeBidiMap,createBidiMap,4
DualTreeBidiMap,firstKey,3
DualTreeBidiMap,headMap,4
DualTreeBidiMap,inverseBidiMap,3
DualTreeBidiMap,inverseOrderedBidiMap,3
DualTreeBidiMap,inverseSortedBidiMap,3
DualTreeBidiMap,lastKey,3
DualTreeBidiMap,mapIterator,3
DualTreeBidiMap,nextKey,15
DualTreeBidiMap,previousKey,14
DualTreeBidiMap,readObject,8
DualTreeBidiMap,subMap,4
DualTreeBidiMap,tailMap,4
DualTreeBidiMap,valueComparator,3
DualTreeBidiMap,writeObject,4
DataElement,toString,3
View,clear,3
View,size,3
KeyView,contains,4
KeyView,iterator,3
KeyView,remove,3
ValueView,contains,4
ValueView,iterator,3
ValueView,remove,3
EntryView,contains,9
EntryView,iterator,3
EntryView,remove,13
InverseEntryView,contains,9
InverseEntryView,iterator,3
InverseEntryView,remove,13
ViewIterator,hasNext,3
ViewIterator,hasPrevious,3
ViewIterator,navigateNext,12
ViewIterator,navigatePrevious,15
ViewIterator,remove,16
ViewMapIterator,getKey,7
ViewMapIterator,getValue,7
ViewMapIterator,next,3
ViewMapIterator,previous,3
ViewMapIterator,setValue,3
InverseViewMapIterator,getKey,7
InverseViewMapIterator,getValue,7
InverseViewMapIterator,next,3
InverseViewMapIterator,previous,3
InverseViewMapIterator,setValue,3
ViewMapEntryIterator,next,3
ViewMapEntryIterator,previous,3
InverseViewMapEntryIterator,createEntry,3
InverseViewMapEntryIterator,next,3
InverseViewMapEntryIterator,previous,3
Node,copyColor,3
Node,equals,10
Node,getData,10
Node,getKey,3
Node,getLeft,3
Node,getParent,3
Node,getRight,3
Node,getValue,3
Node,hashCode,7
Node,isBlack,3
Node,isLeftChild,4
Node,isRed,3
Node,isRightChild,4
Node,setBlack,3
Node,setLeft,3
Node,setParent,3
Node,setRed,3
Node,setRight,3
Node,setValue,3
Node,swapColors,6
Inverse,clear,3
Inverse,containsKey,3
Inverse,containsValue,3
Inverse,entrySet,6
Inverse,equals,3
Inverse,firstKey,6
Inverse,get,3
Inverse,getKey,3
Inverse,hashCode,3
Inverse,inverseBidiMap,3
Inverse,isEmpty,3
Inverse,keySet,6
Inverse,lastKey,6
Inverse,mapIterator,6
Inverse,nextKey,5
Inverse,previousKey,5
Inverse,put,5
Inverse,putAll,5
Inverse,remove,3
Inverse,removeValue,3
Inverse,size,3
Inverse,toString,3
Inverse,values,6
TreeBidiMap,checkKey,3
TreeBidiMap,checkKeyAndValue,4
TreeBidiMap,checkNonNullComparable,8
TreeBidiMap,checkValue,3
TreeBidiMap,clear,7
TreeBidiMap,compare,3
TreeBidiMap,containsKey,4
TreeBidiMap,containsValue,4
TreeBidiMap,copyColor,10
TreeBidiMap,doEquals,29
TreeBidiMap,doHashCode,11
TreeBidiMap,doPut,55
TreeBidiMap,doRedBlackDelete,57
TreeBidiMap,doRedBlackDeleteFixup,73
TreeBidiMap,doRedBlackInsert,62
TreeBidiMap,doRemoveKey,8
TreeBidiMap,doRemoveValue,8
TreeBidiMap,doToString,24
TreeBidiMap,entrySet,6
TreeBidiMap,equals,3
TreeBidiMap,firstKey,6
TreeBidiMap,get,5
TreeBidiMap,getGrandParent,3
TreeBidiMap,getKey,5
TreeBidiMap,getLeftChild,3
TreeBidiMap,getMapIterator,10
TreeBidiMap,getParent,3
TreeBidiMap,getRightChild,3
TreeBidiMap,greatestNode,9
TreeBidiMap,grow,4
TreeBidiMap,hashCode,3
TreeBidiMap,insertValue,32
TreeBidiMap,inverseBidiMap,6
TreeBidiMap,isBlack,3
TreeBidiMap,isEmpty,3
TreeBidiMap,isRed,3
TreeBidiMap,keySet,6
TreeBidiMap,lastKey,6
TreeBidiMap,leastNode,9
TreeBidiMap,lookup,15
TreeBidiMap,lookupKey,3
TreeBidiMap,lookupValue,3
TreeBidiMap,makeBlack,5
TreeBidiMap,makeRed,5
TreeBidiMap,mapIterator,6
TreeBidiMap,modify,3
TreeBidiMap,nextGreater,26
TreeBidiMap,nextKey,5
TreeBidiMap,nextSmaller,26
TreeBidiMap,previousKey,5
TreeBidiMap,put,5
TreeBidiMap,putAll,5
TreeBidiMap,readObject,10
TreeBidiMap,remove,3
TreeBidiMap,removeValue,3
TreeBidiMap,rotateLeft,21
TreeBidiMap,rotateRight,20
TreeBidiMap,shrink,4
TreeBidiMap,size,3
TreeBidiMap,swapPosition,90
TreeBidiMap,toString,3
TreeBidiMap,values,6
TreeBidiMap,writeObject,8
UnmodifiableBidiMap,clear,3
UnmodifiableBidiMap,entrySet,4
UnmodifiableBidiMap,inverseBidiMap,7
UnmodifiableBidiMap,keySet,4
UnmodifiableBidiMap,mapIterator,4
UnmodifiableBidiMap,put,3
UnmodifiableBidiMap,putAll,3
UnmodifiableBidiMap,remove,3
UnmodifiableBidiMap,removeValue,3
UnmodifiableBidiMap,unmodifiableBidiMap,8
UnmodifiableBidiMap,values,4
UnmodifiableOrderedBidiMap,clear,3
UnmodifiableOrderedBidiMap,entrySet,4
UnmodifiableOrderedBidiMap,inverseBidiMap,3
UnmodifiableOrderedBidiMap,inverseOrderedBidiMap,7
UnmodifiableOrderedBidiMap,keySet,4
UnmodifiableOrderedBidiMap,mapIterator,4
UnmodifiableOrderedBidiMap,put,3
UnmodifiableOrderedBidiMap,putAll,3
UnmodifiableOrderedBidiMap,remove,3
UnmodifiableOrderedBidiMap,removeValue,3
UnmodifiableOrderedBidiMap,unmodifiableOrderedBidiMap,9
UnmodifiableOrderedBidiMap,values,4
UnmodifiableSortedBidiMap,clear,3
UnmodifiableSortedBidiMap,entrySet,4
UnmodifiableSortedBidiMap,headMap,4
UnmodifiableSortedBidiMap,inverseBidiMap,7
UnmodifiableSortedBidiMap,keySet,4
UnmodifiableSortedBidiMap,mapIterator,4
UnmodifiableSortedBidiMap,put,3
UnmodifiableSortedBidiMap,putAll,3
UnmodifiableSortedBidiMap,remove,3
UnmodifiableSortedBidiMap,removeValue,3
UnmodifiableSortedBidiMap,subMap,4
UnmodifiableSortedBidiMap,tailMap,4
UnmodifiableSortedBidiMap,unmodifiableSortedBidiMap,8
UnmodifiableSortedBidiMap,values,4
AbstractCollectionDecorator,add,3
AbstractCollectionDecorator,addAll,3
AbstractCollectionDecorator,clear,3
AbstractCollectionDecorator,contains,3
AbstractCollectionDecorator,containsAll,3
AbstractCollectionDecorator,decorated,3
AbstractCollectionDecorator,isEmpty,3
AbstractCollectionDecorator,iterator,3
AbstractCollectionDecorator,remove,3
AbstractCollectionDecorator,removeAll,3
AbstractCollectionDecorator,removeIf,3
AbstractCollectionDecorator,retainAll,3
AbstractCollectionDecorator,setCollection,3
AbstractCollectionDecorator,size,3
AbstractCollectionDecorator,toArray,3
AbstractCollectionDecorator,toArray,3
AbstractCollectionDecorator,toString,3
CompositeCollection,add,7
CompositeCollection,addAll,7
CompositeCollection,addComposited,5
CompositeCollection,addComposited,9
CompositeCollection,addComposited,7
CompositeCollection,clear,5
CompositeCollection,contains,8
CompositeCollection,containsAll,11
CompositeCollection,getCollections,3
CompositeCollection,getMutator,3
CompositeCollection,isEmpty,8
CompositeCollection,iterator,10
CompositeCollection,remove,7
CompositeCollection,removeAll,10
CompositeCollection,removeComposited,3
CompositeCollection,removeIf,10
CompositeCollection,retainAll,9
CompositeCollection,setMutator,3
CompositeCollection,size,7
CompositeCollection,toArray,8
CompositeCollection,toArray,20
CompositeCollection,toCollection,3
IndexedCollection,add,7
IndexedCollection,addAll,7
IndexedCollection,addToIndex,7
IndexedCollection,clear,4
IndexedCollection,contains,3
IndexedCollection,containsAll,8
IndexedCollection,get,5
IndexedCollection,nonUniqueIndexedCollection,6
IndexedCollection,reindex,6
IndexedCollection,remove,7
IndexedCollection,removeAll,7
IndexedCollection,removeFromIndex,3
IndexedCollection,removeIf,17
IndexedCollection,retainAll,7
IndexedCollection,uniqueIndexedCollection,6
IndexedCollection,values,3
Builder,add,8
Builder,addAll,8
Builder,createPredicatedBag,3
Builder,createPredicatedBag,8
Builder,createPredicatedList,3
Builder,createPredicatedList,8
Builder,createPredicatedMultiSet,3
Builder,createPredicatedMultiSet,9
Builder,createPredicatedQueue,3
Builder,createPredicatedQueue,8
Builder,createPredicatedSet,3
Builder,createPredicatedSet,8
Builder,rejectedElements,3
PredicatedCollection,add,4
PredicatedCollection,addAll,6
PredicatedCollection,builder,3
PredicatedCollection,notNullBuilder,3
PredicatedCollection,predicatedCollection,4
PredicatedCollection,validate,6
SynchronizedCollection,add,5
SynchronizedCollection,addAll,5
SynchronizedCollection,clear,5
SynchronizedCollection,contains,5
SynchronizedCollection,containsAll,5
SynchronizedCollection,decorated,3
SynchronizedCollection,equals,8
SynchronizedCollection,hashCode,5
SynchronizedCollection,isEmpty,5
SynchronizedCollection,iterator,3
SynchronizedCollection,remove,5
SynchronizedCollection,removeAll,5
SynchronizedCollection,removeIf,5
SynchronizedCollection,retainAll,5
SynchronizedCollection,size,5
SynchronizedCollection,synchronizedCollection,3
SynchronizedCollection,toArray,5
SynchronizedCollection,toArray,5
SynchronizedCollection,toString,5
TransformedCollection,add,3
TransformedCollection,addAll,3
TransformedCollection,transform,3
TransformedCollection,transform,7
TransformedCollection,transformedCollection,15
TransformedCollection,transformingCollection,4
UnmodifiableBoundedCollection,add,3
UnmodifiableBoundedCollection,addAll,3
UnmodifiableBoundedCollection,clear,3
UnmodifiableBoundedCollection,decorated,3
UnmodifiableBoundedCollection,isFull,3
UnmodifiableBoundedCollection,iterator,3
UnmodifiableBoundedCollection,maxSize,3
UnmodifiableBoundedCollection,remove,3
UnmodifiableBoundedCollection,removeAll,3
UnmodifiableBoundedCollection,removeIf,3
UnmodifiableBoundedCollection,retainAll,3
UnmodifiableBoundedCollection,unmodifiableBoundedCollection,22
UnmodifiableBoundedCollection,unmodifiableBoundedCollection,8
UnmodifiableCollection,add,3
UnmodifiableCollection,addAll,3
UnmodifiableCollection,clear,3
UnmodifiableCollection,iterator,3
UnmodifiableCollection,remove,3
UnmodifiableCollection,removeAll,3
UnmodifiableCollection,removeIf,3
UnmodifiableCollection,retainAll,3
UnmodifiableCollection,unmodifiableCollection,8
BooleanComparator,booleanComparator,3
BooleanComparator,compare,6
BooleanComparator,equals,5
