class_name,code_lines,fields_num,methods_num
BaseDomainObject,14,2,1
Department,20,2,1
Division,16,1,1
Person,26,2,2
Site,16,1,1
1,8,0,1
AbstractHibernateAcceptanceTest,44,1,2
HibernateCollectionsTypeCompatibilityTest,58,0,8
HibernateReferenceTest,124,0,7
Cycle,4,1,0
CustomPerson,46,4,3
Person,29,2,3
AddressBook,35,1,4
Address,21,2,2
PersonConverter,28,0,5
Dash,5,1,0
Aged,9,1,0
AgedThing,10,1,0
Base,3,1,0
A,1,0,0
B,1,0,0
BB,1,0,0
1,25,1,3
AliasTest,333,0,7
ParameterizedContainer,9,1,0
DoubleParameterizedContainer,11,1,0
InternalType,15,1,2
ParameterizedType,18,1,2
AnnotationsTest,180,0,9
AnnotatedAttribute,4,1,0
AnnotatedAliasedAttribute,5,1,0
AnnotatedAttributeParameterized,5,2,0
AnnotatedGenericAttributeParameterized,5,2,0
AnnotatedGenericAttributeBounded,5,2,0
AnnotatedGenericAttributeAndConverterParameterized,6,2,0
AttributesTest,96,0,7
TaskWithAnnotations,30,3,2
DerivedTask,21,2,1
TaskContainer,13,1,2
FirstConverter,20,0,3
SecondaryConverter,17,0,3
CustomConverter,24,1,3
Account,8,1,0
Client,8,1,0
InvalidForConverter,1,0,0
FieldConverterTest,237,0,8
ImplicitRootOne,4,1,0
ImplicitRootTwo,4,1,0
ParameterizedComponentType,4,1,0
Point,11,2,0
Point3D,9,1,0
VariantArray,4,1,0
PrimitiveArrays,4,1,0
ImplicitArrayTest,132,0,6
ImplicitRootOne,12,1,2
ImplicitRootTwo,12,1,2
InvalidImplicitRoot,12,1,2
ImplicitParameterizedType,4,1,0
Point,11,2,0
ParametrizedTypeIsInterface,4,1,0
Untyped,10,1,0
ImplicitCollectionTest,155,0,7
ImplicitRootOne,12,1,2
ImplicitRootTwo,12,1,2
ImplicitParameterizedType,4,1,0
Point,13,3,0
ParametrizedTypeIsInterface,4,1,0
Untyped,10,1,0
Software,13,3,0
ImplicitMapTest,168,0,6
Apartment,9,1,0
OmitFieldTest,26,0,2
MyMap,3,1,0
MyMapConverter,15,1,1
Decimal,7,1,0
Type,15,3,0
MyType,5,0,0
E,3,2,0
DerivedType,13,1,0
E,3,2,0
DerivedType2,13,1,0
SimpleBean,12,2,2
E,3,2,0
ContainsMap,15,2,0
ContainsMap2,10,2,0
MyEnumMap,3,1,0
ContainsCollection,10,2,0
ParametrizedConverterTest,289,0,12
Annotated,2,0,0
1,5,0,0
XStreamBuilderAnnotationsTest,22,0,1
Category,51,3,7
Hardware,14,3,0
OpenSourceSoftware,13,2,0
Original,15,2,1
OwnerOfExternalizable,4,2,0
Product,114,4,11
Replaced,15,2,1
SampleDynamicProxy,70,2,7
SampleLists,6,3,0
SampleMaps,5,3,0
Software,13,3,0
SomethingExternalizable,33,4,2
StandardObject,23,1,4
StatusEnum,33,8,3
FunnyConstructor,9,2,0
Handler,13,1,1
HandlerManager,9,1,1
Protocol,13,1,1
U,9,3,0
WithList,4,2,0
WithNamedList,12,2,1
X,13,4,0
Y,4,2,0
Z,9,2,0
AbsoluteSingleNodeXPathReferenceTest,152,0,8
AbsoluteXPathReferenceTest,152,0,8
AbstractAcceptanceTest,191,1,13
AbstractBuilderAcceptanceTest,194,1,13
Thing,8,2,0
MultRef,5,2,0
Person,9,3,0
LinkedElement,8,2,0
TreeElement,13,3,0
NestedThing,12,1,2
WeirdThing,28,3,2
TreeData,67,4,4
1,4,1,0
Email,14,3,0
EmailList,5,3,0
EmailArray,5,3,0
AbstractReferenceTest,524,0,20
HasUnderscore,3,1,0
FieldsWithInternalNames,4,2,0
TypeA,3,1,0
TypeB,3,1,0
TypeC,3,1,0
1,7,0,1
2,1,0,0
3,1,0,0
4,1,0,0
AliasTest,403,0,22
X,4,2,0
ObjWithArray,4,2,0
ObjectWithLongArray,3,1,0
Thing,1,0,0
SpecialThing,1,0,0
NoOneLikesMe,8,2,0
ArraysTest,253,0,13
One,9,2,1
Two,1,0,0
Three,3,1,0
