class_name,method_name,code_lines 
BaseDomainObject,getName,3
Department,getPeople,3
Division,getDepartments,3
Person,getDepartment,3
Person,getSite,3
Site,getPeople,3
1,wrapMapper,3
AbstractHibernateAcceptanceTest,createXStream,17
AbstractHibernateAcceptanceTest,getSessionFactory,3
HibernateCollectionsTypeCompatibilityTest,assertXmlEquals,5
HibernateCollectionsTypeCompatibilityTest,newHibernateCollection,20
HibernateCollectionsTypeCompatibilityTest,testPersistentBag,4
HibernateCollectionsTypeCompatibilityTest,testPersistentList,4
HibernateCollectionsTypeCompatibilityTest,testPersistentMap,4
HibernateCollectionsTypeCompatibilityTest,testPersistentSet,3
HibernateCollectionsTypeCompatibilityTest,testPersistentSortedMap,4
HibernateCollectionsTypeCompatibilityTest,testPersistentSortedSet,4
HibernateReferenceTest,getPersistentDivision,7
HibernateReferenceTest,setUp,9
HibernateReferenceTest,setupNonpersistentDivision,7
HibernateReferenceTest,setupPersistentDivision,16
HibernateReferenceTest,tearDown,11
HibernateReferenceTest,testLazyProxyWithReferences,38
HibernateReferenceTest,testObjectGraphWithReferences,16
CustomPerson,equals,6
CustomPerson,hashCode,3
CustomPerson,toString,13
Person,equals,6
Person,hashCode,3
Person,toString,5
AddressBook,equals,6
AddressBook,getAddresses,3
AddressBook,hashCode,3
AddressBook,setAddresses,4
Address,addr,3
Address,zipcode,3
PersonConverter,canConvert,3
PersonConverter,fromString,3
PersonConverter,marshal,4
PersonConverter,toString,3
PersonConverter,unmarshal,3
1,canConvert,3
1,fromString,10
1,toString,3
AliasTest,createXStream,5
AliasTest,testAnnotationForATypeAlias,37
AliasTest,testAnnotationForClassWithAnnotatedConverter,17
AliasTest,testAnnotationForField,17
AliasTest,testAnnotationForFieldWithAliasCycle,9
AliasTest,testAnnotationForFieldWithAttributeDefinitionForFieldType,6
AliasTest,testAnnotationIsInheritedTogetherWithAsAttribute,4
InternalType,equals,3
InternalType,hashCode,3
ParameterizedType,equals,3
ParameterizedType,hashCode,3
AnnotationsTest,createXStream,5
AnnotationsTest,testAreDetectedInArrays,13
AnnotationsTest,testAreDetectedInJDKCollection,11
AnnotationsTest,testAreDetectedInNestedParameterizedTypes,13
AnnotationsTest,testAreDetectedInParameterizedTypes,11
AnnotationsTest,testAreDetectedInParametrizedArrays,15
AnnotationsTest,testCanBeIncluded,10
AnnotationsTest,testForClassInObjectStreamIsDetectedAtDeserialization,16
AnnotationsTest,testForClassIsDetectedAtDeserialization,10
AttributesTest,createXStream,5
AttributesTest,testAnnotation,6
AttributesTest,testAnnotationAtGenericTypeInBoundedClass,6
AttributesTest,testAnnotationAtGenericTypeInParameterizedClass,7
AttributesTest,testAnnotationAtGenericTypeWithLocalConverterInParameterizedClass,7
AttributesTest,testAnnotationInCombinationWithAlias,6
AttributesTest,testAnnotationInParameterizedClass,6
TaskWithAnnotations,equals,7
TaskWithAnnotations,hashCode,3
DerivedTask,equals,7
TaskContainer,equals,3
TaskContainer,hashCode,3
FirstConverter,canConvert,3
FirstConverter,marshal,5
FirstConverter,unmarshal,4
